saying,my_last_move,their_last_move,my_rock,my_paper,my_scissor,my_fourth,their_rock,their_paper,their_scissor,my_dino,their_dino,their_move
1,0,0,0,0,2,0,0,0,0,0,1,1
2,1,1,0,0,0,0,3,0,0,0,1,3
2,3,3,0,0,2,0,0,0,1,0,1,1
6,2,1,0,2,0,0,3,0,0,0,1,2
1,0,0,0,0,2,0,5,0,0,0,2,2
3,3,2,0,0,4,0,5,0,0,0,2,3
6,1,3,0,0,0,0,0,0,0,0,2,3
2,0,0,0,0,2,0,0,0,2,0,0,2
2,2,2,0,2,0,0,0,3,0,0,0,1
2,1,1,0,0,0,0,2,1,0,0,0,3
2,3,3,0,0,2,0,0,0,2,0,0,1
1,0,0,0,2,0,0,0,0,0,0,1,3
5,2,3,0,4,0,0,0,0,1,0,1,1
6,2,1,0,6,0,0,3,0,0,0,1,2
1,0,0,0,4,2,0,5,0,0,0,2,3
1,0,0,0,0,0,0,0,0,0,0,0,3
6,1,3,0,0,0,0,0,0,2,0,0,1
0,2,1,0,2,0,0,2,0,0,0,0,2
1,0,0,0,0,2,0,0,0,0,0,1,3
5,2,3,0,2,0,0,0,0,1,0,1,1
6,2,1,0,4,0,0,3,0,0,0,1,2
1,0,0,0,2,2,0,5,0,0,0,2,3
6,1,3,0,0,0,0,5,0,0,0,2,1
2,1,1,0,0,0,0,5,0,0,0,2,3
1,0,0,0,0,0,0,0,0,0,0,0,2
0,1,2,0,0,0,0,0,3,0,0,0,1
2,1,1,0,0,0,0,2,1,0,0,0,3
2,3,3,0,0,2,0,0,0,2,0,0,1
4,2,1,0,2,0,0,2,0,0,0,0,3
2,3,3,0,0,2,0,0,0,2,0,0,1
1,0,0,0,2,0,0,0,0,0,0,1,1
6,2,1,0,4,0,0,3,0,0,0,1,2
1,0,0,0,2,2,0,5,0,0,0,2,3
6,1,3,0,0,0,0,5,0,0,0,2,1
1,0,0,0,0,0,0,0,0,0,0,0,3
4,3,3,0,0,2,0,0,0,2,0,0,2
2,2,2,0,2,0,0,0,3,0,0,0,3
4,1,3,0,0,0,0,0,1,2,0,0,1
1,0,0,0,2,0,0,0,0,0,0,1,3
6,1,3,0,0,0,0,0,0,1,0,1,1
6,2,1,0,2,0,0,3,0,0,0,1,2
1,0,0,0,0,2,0,5,0,0,0,2,3
2,3,3,0,0,4,0,5,0,0,0,2,1
5,3,1,0,0,2,0,5,0,0,0,2,2
3,3,2,0,0,0,2,5,0,0,0,2,3
6,1,3,0,0,0,0,5,0,0,0,2,1
1,0,0,0,0,0,0,0,0,0,0,0,2
5,1,2,0,0,0,0,0,3,0,0,0,3
6,1,3,0,0,0,0,0,1,2,0,0,1
6,2,1,0,2,0,0,2,0,0,0,0,2
1,0,0,0,0,2,0,0,0,0,0,1,3
5,2,3,0,2,0,0,0,0,1,0,1,1
6,2,1,0,4,0,0,3,0,0,0,1,2
1,0,0,0,2,2,0,5,0,0,0,2,2
0,1,2,0,0,0,0,5,0,0,0,2,3
6,1,3,0,0,0,0,5,0,0,0,2,1
6,2,1,0,0,0,0,0,0,0,0,2,2
5,0,0,0,0,0,0,0,3,0,0,0,3
6,1,3,0,0,0,0,0,1,2,0,0,1
6,2,1,0,2,0,0,2,0,0,0,0,2
1,0,0,0,0,2,0,0,0,0,0,1,1
0,2,1,0,2,0,0,3,0,0,0,1,2
1,0,0,0,0,2,0,5,0,0,0,2,3
0,1,3,0,0,0,0,5,0,0,0,2,3
5,2,3,0,2,0,0,5,0,0,0,2,1
1,0,0,0,0,0,0,0,0,0,0,0,2
5,1,2,0,0,0,0,0,3,0,0,0,3
6,1,3,0,0,0,0,0,1,2,0,0,1
6,2,1,0,2,0,0,2,0,0,0,0,2
1,0,0,0,0,2,0,0,0,0,0,1,1
6,2,1,0,2,0,0,3,0,0,0,1,2
1,0,0,0,0,2,0,5,0,0,0,2,3
6,1,3,0,0,0,0,5,0,0,0,2,1
1,0,0,0,0,0,0,0,0,0,0,0,2
8,1,2,0,0,0,0,0,3,0,0,0,1
0,2,1,0,2,0,0,2,1,0,0,0,2
2,2,2,0,4,0,0,0,4,0,0,0,3
1,0,0,0,2,0,0,0,0,0,0,1,1
6,2,1,0,4,0,0,3,0,0,0,1,2
1,0,0,0,2,2,0,5,0,0,0,2,2
5,1,2,0,0,0,0,5,0,0,0,2,3
6,1,3,0,0,0,0,5,0,0,0,2,1
1,0,0,0,0,0,0,0,0,0,0,0,3
6,1,3,0,0,0,0,0,0,2,0,0,1
0,2,1,0,2,0,0,2,0,0,0,0,3
2,3,3,0,0,2,0,0,0,2,0,0,1
1,0,0,0,2,0,0,0,0,0,0,1,1
6,2,1,0,4,0,0,3,0,0,0,1,2
1,0,0,0,2,2,0,5,0,0,0,2,2
5,1,2,0,0,0,0,5,0,0,0,2,3
6,1,3,0,0,0,0,5,0,0,0,2,1
1,0,0,0,0,0,0,0,0,0,0,0,3
6,1,3,0,0,0,0,0,0,2,0,0,1
0,2,1,0,2,0,0,2,0,0,0,0,2
1,0,0,0,0,2,0,0,0,0,0,1,1
6,2,1,0,2,0,0,3,0,0,0,1,2
1,0,0,0,0,2,0,5,0,0,0,2,3
6,1,3,0,0,0,0,5,0,0,0,2,1
